2025-02-01 15:10:30.665225 +0700 WIB m=+275.907875918~::1~POST~/api/v1/admin/CompanyOverview~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Length:202 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Origin:http://localhost:3000 | Signature:caf78198b2489863985068ac5ce5ce06 | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Type:application/json | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODM5NzIxMDM0NzYwNw==5FyOZyX2oHwOrhz57ePIcnckT3nrGr","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-02-01 15:10:30.688665 +0700 WIB m=+275.931315501~7µs~
2025-02-01 15:10:48.938816 +0700 WIB m=+294.181466501~::1~POST~/api/v1/admin/CompanyOverview~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:170 | Signature:920f7963ddb8f0802ac7c1d9b455ec7b | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Content-Type:application/json | Sec-Gpc:1 | Referer:http://localhost:3000/"~{"Username":"admin_lippoland","ParamKey":"MTczODM5NzIxMDM0NzYwNw==5FyOZyX2oHwOrhz57ePIcnckT3nrGr","Method":"SELECT","Id":"1","Page":1,"RowPage":1,"OrderBy":"","Order":""}~200~2025-02-01 15:10:48.949544 +0700 WIB m=+294.192195251~20.875µs~
2025-02-01 15:10:56.416391 +0700 WIB m=+301.659042376~::1~POST~/api/v1/admin/CompanyOverview~ "Header=>Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Signature:3a375444c1378f988fd7d04a49b18dca | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Connection:keep-alive | Content-Length:674 | Sec-Ch-Ua-Platform:"macOS""~{"Username":"admin_lippoland","ParamKey":"MTczODM5NzIxMDM0NzYwNw==5FyOZyX2oHwOrhz57ePIcnckT3nrGr","Id":"1","Method":"UPDATE","FileNameImageOld":"250129163020wpAU_Frame349.jpeg","FileNameImage":null,"Base64DataImage":"","Title":"Tentang ","Description":"LippoLand merupakan perusahaan real estate terkemuka di Indonesia dengan rekam jejak yang positif dalam pengembangan dan pengelolaan beragam portofolio, termasuk kawasan perkotaan, kawasan terintegrasi, perkantoran, area komersial, pemukiman, kawasan industri, hingga taman pemakaman. Sejalan dengan nilai-nilai inti Perusahaan, kami berkomitmen untuk terus berupaya memastikan kesejahteraan pelanggan yang kami layani."}~200~2025-02-01 15:10:56.427224 +0700 WIB m=+301.669875043~18.333µs~
2025-02-01 15:10:56.458962 +0700 WIB m=+301.701613293~::1~POST~/api/v1/admin/CompanyOverview~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Signature:caf78198b2489863985068ac5ce5ce06 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Content-Length:202 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Type:application/json | Origin:http://localhost:3000 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODM5NzIxMDM0NzYwNw==5FyOZyX2oHwOrhz57ePIcnckT3nrGr","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-02-01 15:10:56.466917 +0700 WIB m=+301.709567668~13.875µs~
2025-02-01 15:11:07.155499 +0700 WIB m=+312.398149460~::1~POST~/api/v1/admin/CompanyOverview~ "Header=>Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Type:application/json | Sec-Gpc:1 | Accept:*/* | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Signature:920f7963ddb8f0802ac7c1d9b455ec7b | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:170 | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_lippoland","ParamKey":"MTczODM5NzIxMDM0NzYwNw==5FyOZyX2oHwOrhz57ePIcnckT3nrGr","Method":"SELECT","Id":"1","Page":1,"RowPage":1,"OrderBy":"","Order":""}~200~2025-02-01 15:11:07.166046 +0700 WIB m=+312.408697085~21.834µs~
2025-02-01 15:11:21.197201 +0700 WIB m=+326.439851668~::1~POST~/api/v1/admin/CompanyOverview~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Signature:55987d3c394f8a66182ec6489f80dfa7 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Content-Length:683 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODM5NzIxMDM0NzYwNw==5FyOZyX2oHwOrhz57ePIcnckT3nrGr","Id":"1","Method":"UPDATE","FileNameImageOld":"250129163020wpAU_Frame349.jpeg","FileNameImage":"","Base64DataImage":"","Title":"Tentang  Perusahaan","Description":"LippoLand merupakan perusahaan real estate terkemuka di Indonesia dengan rekam jejak yang positif dalam pengembangan dan pengelolaan beragam portofolio, termasuk kawasan perkotaan, kawasan terintegrasi, perkantoran, area komersial, pemukiman, kawasan industri, hingga taman pemakaman. Sejalan dengan nilai-nilai inti Perusahaan, kami berkomitmen untuk terus berupaya memastikan kesejahteraan pelanggan yang kami layani."}~200~2025-02-01 15:11:21.205163 +0700 WIB m=+326.447813876~26.166µs~
2025-02-01 15:11:21.230226 +0700 WIB m=+326.472877251~::1~POST~/api/v1/admin/CompanyOverview~ "Header=>Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Content-Length:202 | Sec-Ch-Ua-Platform:"macOS" | Signature:caf78198b2489863985068ac5ce5ce06 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Mode:cors | Content-Type:application/json | Accept:*/* | Sec-Gpc:1"~{"Username":"admin_lippoland","ParamKey":"MTczODM5NzIxMDM0NzYwNw==5FyOZyX2oHwOrhz57ePIcnckT3nrGr","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-02-01 15:11:21.244587 +0700 WIB m=+326.487238293~14.125µs~
2025-02-01 15:17:04.210389 +0700 WIB m=+669.453040001~::1~POST~/api/v1/admin/CompanyOverview~ "Header=>Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Length:202 | Sec-Ch-Ua-Platform:"macOS" | Signature:caf78198b2489863985068ac5ce5ce06 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Connection:keep-alive"~{"Username":"admin_lippoland","ParamKey":"MTczODM5NzIxMDM0NzYwNw==5FyOZyX2oHwOrhz57ePIcnckT3nrGr","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-02-01 15:17:04.221648 +0700 WIB m=+669.464299085~9.292µs~
2025-02-01 15:38:53.074707 +0700 WIB m=+1978.317357501~::1~POST~/api/v1/admin/CompanyOverview~ "Header=>Accept:*/* | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Connection:keep-alive | Content-Length:202 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Signature:caf78198b2489863985068ac5ce5ce06 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_lippoland","ParamKey":"MTczODM5NzIxMDM0NzYwNw==5FyOZyX2oHwOrhz57ePIcnckT3nrGr","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-02-01 15:38:53.09818 +0700 WIB m=+1978.340830543~7.708µs~
2025-02-01 15:38:57.927603 +0700 WIB m=+1983.170253960~::1~POST~/api/v1/admin/CompanyOverview~ "Header=>Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:170 | Signature:920f7963ddb8f0802ac7c1d9b455ec7b | Origin:http://localhost:3000 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_lippoland","ParamKey":"MTczODM5NzIxMDM0NzYwNw==5FyOZyX2oHwOrhz57ePIcnckT3nrGr","Method":"SELECT","Id":"1","Page":1,"RowPage":1,"OrderBy":"","Order":""}~200~2025-02-01 15:38:57.936974 +0700 WIB m=+1983.179624876~19.916µs~
2025-02-01 15:39:05.872189 +0700 WIB m=+1991.114839626~::1~POST~/api/v1/admin/CompanyOverview~ "Header=>Content-Length:676 | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Signature:115ec45867bc1c5444d5fd4c91510696"~{"Username":"admin_lippoland","ParamKey":"MTczODM5NzIxMDM0NzYwNw==5FyOZyX2oHwOrhz57ePIcnckT3nrGr","Id":"1","Method":"UPDATE","FileNameImageOld":"250129163020wpAU_Frame349.jpeg","FileNameImage":null,"Base64DataImage":"","Title":"Perusahaan","Description":"LippoLand merupakan perusahaan real estate terkemuka di Indonesia dengan rekam jejak yang positif dalam pengembangan dan pengelolaan beragam portofolio, termasuk kawasan perkotaan, kawasan terintegrasi, perkantoran, area komersial, pemukiman, kawasan industri, hingga taman pemakaman. Sejalan dengan nilai-nilai inti Perusahaan, kami berkomitmen untuk terus berupaya memastikan kesejahteraan pelanggan yang kami layani."}~200~2025-02-01 15:39:05.895849 +0700 WIB m=+1991.138500001~19.666µs~
