2025/01/26 00:18:12 2025-01-26 00:18:12.476879 +0700 WIB m=+375.738955417~::1~POST~/api/v1/admin/HeroHome~ "Header=>Accept-Encoding:gzip, deflate, br | Signature:276c45e4122f34aaeeef080afc57ad25 | Content-Type:application/json | User-Agent:PostmanRuntime/7.38.0 | Cache-Control:no-cache | Accept:*/* | Postman-Token:6906773b-3fd3-4e00-87cf-921a5bba3e74 | Connection:keep-alive | Content-Length:196"~{    "Username": "admin_lippoland",    "ParamKey": "MTczNzgwMDY5NDUyOTI1MQ==Kw8TpR9V3ZDbtXvzJbySKh06TEJhZ4",    "Method": "SELECT",    "Page": 1,"RowPage": -1,"OrderBy": "","Order": ""}~200~2025-01-26 00:18:12.520916 +0700 WIB m=+375.782992001~16.459µs~Session Expired
2025/01/26 00:18:36 2025-01-26 00:18:36.515161 +0700 WIB m=+399.777237709~::1~POST~/api/v1/admin/HeroHome~ "Header=>Content-Length:196 | Signature:881f0bc1d85f86d61a91dcb8cbde3dfd | Content-Type:application/json | User-Agent:PostmanRuntime/7.38.0 | Accept:*/* | Cache-Control:no-cache | Accept-Encoding:gzip, deflate, br | Postman-Token:f07768a1-8f36-45aa-928d-673d7cf1ef94 | Connection:keep-alive"~{    "Username": "admin_lippoland",    "ParamKey": "MTczNzgyNTQ5NjgyOTgyNg==0VDwjvDtqfcSqDSs6O0KiSnYTNAB1Q",    "Method": "SELECT",    "Page": 1,"RowPage": -1,"OrderBy": "","Order": ""}~200~2025-01-26 00:18:36.53307 +0700 WIB m=+399.795146084~16.583µs~Error Execute data
2025/01/26 00:18:36 2025-01-26 00:18:36.515161 +0700 WIB m=+399.777237709~::1~POST~/api/v1/admin/HeroHome~ "Header=>Content-Length:196 | Signature:881f0bc1d85f86d61a91dcb8cbde3dfd | Content-Type:application/json | User-Agent:PostmanRuntime/7.38.0 | Accept:*/* | Cache-Control:no-cache | Accept-Encoding:gzip, deflate, br | Postman-Token:f07768a1-8f36-45aa-928d-673d7cf1ef94 | Connection:keep-alive"~{    "Username": "admin_lippoland",    "ParamKey": "MTczNzgyNTQ5NjgyOTgyNg==0VDwjvDtqfcSqDSs6O0KiSnYTNAB1Q",    "Method": "SELECT",    "Page": 1,"RowPage": -1,"OrderBy": "","Order": ""}~200~2025-01-26 00:18:36.539833 +0700 WIB m=+399.801909084~17.583µs~Error, catch
2025/01/26 00:20:42 2025-01-26 00:20:42.664132 +0700 WIB m=+2.337357001~::1~POST~/api/v1/admin/HeroHome~ "Header=>Content-Type:application/json | Accept:*/* | Cache-Control:no-cache | Accept-Encoding:gzip, deflate, br | Content-Length:196 | Signature:881f0bc1d85f86d61a91dcb8cbde3dfd | User-Agent:PostmanRuntime/7.38.0 | Postman-Token:89f9ebb3-261c-49db-a8ba-16a89f062153 | Connection:keep-alive"~{    "Username": "admin_lippoland",    "ParamKey": "MTczNzgyNTQ5NjgyOTgyNg==0VDwjvDtqfcSqDSs6O0KiSnYTNAB1Q",    "Method": "SELECT",    "Page": 1,"RowPage": -1,"OrderBy": "","Order": ""}~200~2025-01-26 00:20:42.723394 +0700 WIB m=+2.396619251~12.542µs~Error Execute data
2025/01/26 00:20:42 2025-01-26 00:20:42.664132 +0700 WIB m=+2.337357001~::1~POST~/api/v1/admin/HeroHome~ "Header=>Content-Type:application/json | Accept:*/* | Cache-Control:no-cache | Accept-Encoding:gzip, deflate, br | Content-Length:196 | Signature:881f0bc1d85f86d61a91dcb8cbde3dfd | User-Agent:PostmanRuntime/7.38.0 | Postman-Token:89f9ebb3-261c-49db-a8ba-16a89f062153 | Connection:keep-alive"~{    "Username": "admin_lippoland",    "ParamKey": "MTczNzgyNTQ5NjgyOTgyNg==0VDwjvDtqfcSqDSs6O0KiSnYTNAB1Q",    "Method": "SELECT",    "Page": 1,"RowPage": -1,"OrderBy": "","Order": ""}~200~2025-01-26 00:20:42.7276 +0700 WIB m=+2.400825042~24.041µs~Error, catch
2025/01/26 00:21:30 2025-01-26 00:21:30.583569 +0700 WIB m=+1.842154584~::1~POST~/api/v1/admin/HeroHome~ "Header=>User-Agent:PostmanRuntime/7.38.0 | Accept:*/* | Signature:881f0bc1d85f86d61a91dcb8cbde3dfd | Cache-Control:no-cache | Postman-Token:48753faf-b8f8-41bb-8348-f3c46d1b183d | Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:196 | Content-Type:application/json"~{    "Username": "admin_lippoland",    "ParamKey": "MTczNzgyNTQ5NjgyOTgyNg==0VDwjvDtqfcSqDSs6O0KiSnYTNAB1Q",    "Method": "SELECT",    "Page": 1,"RowPage": -1,"OrderBy": "","Order": ""}~200~2025-01-26 00:21:30.648908 +0700 WIB m=+1.907493876~19.084µs~Error Execute data
2025/01/26 00:21:30 2025-01-26 00:21:30.583569 +0700 WIB m=+1.842154584~::1~POST~/api/v1/admin/HeroHome~ "Header=>User-Agent:PostmanRuntime/7.38.0 | Accept:*/* | Signature:881f0bc1d85f86d61a91dcb8cbde3dfd | Cache-Control:no-cache | Postman-Token:48753faf-b8f8-41bb-8348-f3c46d1b183d | Accept-Encoding:gzip, deflate, br | Connection:keep-alive | Content-Length:196 | Content-Type:application/json"~{    "Username": "admin_lippoland",    "ParamKey": "MTczNzgyNTQ5NjgyOTgyNg==0VDwjvDtqfcSqDSs6O0KiSnYTNAB1Q",    "Method": "SELECT",    "Page": 1,"RowPage": -1,"OrderBy": "","Order": ""}~200~2025-01-26 00:21:30.65239 +0700 WIB m=+1.910975417~8.916µs~Error, catch
2025/01/26 00:22:00 2025-01-26 00:22:00.72319 +0700 WIB m=+31.981775917~::1~POST~/api/v1/admin/HeroHome~ "Header=>Accept-Encoding:gzip, deflate, br | Content-Length:196 | Content-Type:application/json | User-Agent:PostmanRuntime/7.38.0 | Cache-Control:no-cache | Postman-Token:3de39fac-a4ee-4ec0-a1ac-e7d2a36936a1 | Connection:keep-alive | Signature:881f0bc1d85f86d61a91dcb8cbde3dfd | Accept:*/*"~{    "Username": "admin_lippoland",    "ParamKey": "MTczNzgyNTQ5NjgyOTgyNg==0VDwjvDtqfcSqDSs6O0KiSnYTNAB1Q",    "Method": "SELECT",    "Page": 1,"RowPage": -1,"OrderBy": "","Order": ""}~200~2025-01-26 00:22:00.752073 +0700 WIB m=+32.010658542~7.333µs~
2025/01/26 00:23:47 2025-01-26 00:23:47.612163 +0700 WIB m=+6.829549668~::1~POST~/api/v1/admin/HeroHome~ "Header=>Postman-Token:699d5363-5cab-41fc-9f8c-b82a16225e6e | Connection:keep-alive | Signature:881f0bc1d85f86d61a91dcb8cbde3dfd | Content-Type:application/json | Cache-Control:no-cache | Accept-Encoding:gzip, deflate, br | Content-Length:196 | User-Agent:PostmanRuntime/7.38.0 | Accept:*/*"~{    "Username": "admin_lippoland",    "ParamKey": "MTczNzgyNTQ5NjgyOTgyNg==0VDwjvDtqfcSqDSs6O0KiSnYTNAB1Q",    "Method": "SELECT",    "Page": 1,"RowPage": -1,"OrderBy": "","Order": ""}~200~2025-01-26 00:23:47.667889 +0700 WIB m=+6.885276543~12.25µs~
2025/01/26 00:24:40 2025-01-26 00:24:40.851698 +0700 WIB m=+1.937555417~::1~POST~/api/v1/admin/HeroHome~ "Header=>Cache-Control:no-cache | Connection:keep-alive | Content-Type:application/json | Accept:*/* | Postman-Token:29b34ad9-61a5-4583-ab20-45d2b9af08d0 | Accept-Encoding:gzip, deflate, br | Content-Length:196 | Signature:881f0bc1d85f86d61a91dcb8cbde3dfd | User-Agent:PostmanRuntime/7.38.0"~{    "Username": "admin_lippoland",    "ParamKey": "MTczNzgyNTQ5NjgyOTgyNg==0VDwjvDtqfcSqDSs6O0KiSnYTNAB1Q",    "Method": "SELECT",    "Page": 1,"RowPage": -1,"OrderBy": "","Order": ""}~200~2025-01-26 00:24:40.906333 +0700 WIB m=+1.992190584~12.542µs~
2025/01/26 00:53:45 2025-01-26 00:53:45.280626 +0700 WIB m=+11.012698209~::1~POST~/api/v1/admin/HeroHome~ "Header=>Connection:keep-alive | Signature:881f0bc1d85f86d61a91dcb8cbde3dfd | Content-Type:application/json | User-Agent:PostmanRuntime/7.38.0 | Cache-Control:no-cache | Accept:*/* | Postman-Token:11532dbc-1a3a-40c9-8be9-e87ed2ce4f6f | Accept-Encoding:gzip, deflate, br | Content-Length:196"~{    "Username": "admin_lippoland",    "ParamKey": "MTczNzgyNTQ5NjgyOTgyNg==0VDwjvDtqfcSqDSs6O0KiSnYTNAB1Q",    "Method": "SELECT",    "Page": 1,"RowPage": -1,"OrderBy": "","Order": ""}~200~2025-01-26 00:53:45.338115 +0700 WIB m=+11.070187917~16.5µs~Session Expired
