2025-01-29 01:20:34.667052 +0700 WIB m=+9236.273060876~::1~POST~/api/v1/admin/HeroHome~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Mobile:?0 | Signature:46f8e205dc9fc30bdd06b1baa933f91f | Content-Type:application/json | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:202 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Connection:keep-alive"~{"Username":"admin_lippoland","ParamKey":"MTczODA4Njc2Njc5MjI3OA==z4yx8pZE6gPK6BQQ8MaGUz5vtw2w1S","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 01:20:34.814241 +0700 WIB m=+9236.420250417~6.333µs~Session Expired
2025-01-29 01:20:54.167317 +0700 WIB m=+9255.773326584~::1~POST~/api/v1/admin/HeroHome~ "Header=>Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Connection:keep-alive | Content-Length:202 | Signature:0cf2b172b4d001d90097e6df548f9650 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept:*/* | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODA4ODQ1MDY3MzQ4NQ==zIeRrZ1K4bNh7q6mwKrho9QdhKkAFT","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 01:20:54.176561 +0700 WIB m=+9255.782570542~15.583µs~
2025-01-29 12:39:47.330744 +0700 WIB m=+2179.609004418~::1~POST~/api/v1/admin/HeroHome~ "Header=>Content-Length:202 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Signature:177dfa5e619d1c6f2c8c0bfff8a668b0 | Accept-Language:en-US,en | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1"~{"Username":"admin_lippoland","ParamKey":"MTczODEyNzI1NzQ2NDA2MQ==JouXt6H8EiYvijGYRDevMCk6rmr5H7","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 12:39:47.449536 +0700 WIB m=+2179.727796876~7.583µs~
2025-01-29 12:41:32.538398 +0700 WIB m=+2284.816658584~::1~POST~/api/v1/admin/HeroHome~ "Header=>Content-Length:202 | Signature:177dfa5e619d1c6f2c8c0bfff8a668b0 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Referer:http://localhost:3000/ | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODEyNzI1NzQ2NDA2MQ==JouXt6H8EiYvijGYRDevMCk6rmr5H7","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 12:41:32.613054 +0700 WIB m=+2284.891314793~19.167µs~
2025-01-29 12:43:34.467165 +0700 WIB m=+2406.745425834~::1~POST~/api/v1/admin/HeroHome~ "Header=>Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Sec-Ch-Ua-Platform:"macOS" | Signature:177dfa5e619d1c6f2c8c0bfff8a668b0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Content-Length:202 | Accept:*/* | Accept-Language:en-US,en | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODEyNzI1NzQ2NDA2MQ==JouXt6H8EiYvijGYRDevMCk6rmr5H7","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 12:43:34.477053 +0700 WIB m=+2406.755313334~6.916µs~
2025-01-29 12:43:59.047146 +0700 WIB m=+2431.325406293~::1~POST~/api/v1/admin/HeroHome~ "Header=>Connection:keep-alive | Content-Length:202 | Sec-Fetch-Mode:cors | Sec-Fetch-Site:same-site | Signature:177dfa5e619d1c6f2c8c0bfff8a668b0 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODEyNzI1NzQ2NDA2MQ==JouXt6H8EiYvijGYRDevMCk6rmr5H7","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 12:43:59.05669 +0700 WIB m=+2431.334950459~8.958µs~
2025-01-29 12:57:14.141418 +0700 WIB m=+3226.419678501~::1~POST~/api/v1/admin/HeroHome~ "Header=>Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site | Signature:177dfa5e619d1c6f2c8c0bfff8a668b0 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Gpc:1 | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:202 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors"~{"Username":"admin_lippoland","ParamKey":"MTczODEyNzI1NzQ2NDA2MQ==JouXt6H8EiYvijGYRDevMCk6rmr5H7","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 12:57:14.218746 +0700 WIB m=+3226.497006251~8.542µs~
2025-01-29 12:58:57.616308 +0700 WIB m=+3329.894568584~::1~POST~/api/v1/admin/HeroHome~ "Header=>Content-Length:202 | Signature:177dfa5e619d1c6f2c8c0bfff8a668b0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000"~{"Username":"admin_lippoland","ParamKey":"MTczODEyNzI1NzQ2NDA2MQ==JouXt6H8EiYvijGYRDevMCk6rmr5H7","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 12:58:57.685884 +0700 WIB m=+3329.964145209~6.625µs~
2025-01-29 13:30:14.392189 +0700 WIB m=+5206.670449959~::1~POST~/api/v1/admin/HeroHome~ "Header=>Signature:7785a92b58e434dfd0270722f2fb7eae | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:202 | Content-Type:application/json | Accept-Language:en-US,en | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Dest:empty | Connection:keep-alive"~{"Username":"admin_lippoland","ParamKey":"MTczODEzMjIxMTc3NjI1Nw==40ypagQGHOziHODitC8yMDHwhWWCmo","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 13:30:14.417298 +0700 WIB m=+5206.695559168~17.792µs~
2025-01-29 14:53:03.716872 +0700 WIB m=+1040.384209334~::1~POST~/api/v1/admin/HeroHome~ "Header=>Content-Length:202 | Signature:676f4d81472b0bc47780afbfc2f7789c | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Type:application/json | Sec-Fetch-Dest:empty | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en"~{"Username":"admin_lippoland","ParamKey":"MTczODEzNjA1MzMxOTY1OQ==RGA6ygBJHqY47KAEiwzEe1ar9nt5Io","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 14:53:04.150799 +0700 WIB m=+1040.818135542~8.333µs~
2025-01-29 14:53:03.693249 +0700 WIB m=+1040.360586292~::1~POST~/api/v1/admin/LeftMenu~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Signature:5ea51199d240349b8026237e521e8e25 | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Length:162 | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive"~{"Username":"admin_lippoland","ParamKey":"MTczODEzNjA1MzMxOTY1OQ==RGA6ygBJHqY47KAEiwzEe1ar9nt5Io","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-01-29 14:53:04.161892 +0700 WIB m=+1040.829228584~11.333µs~
