2025/01/29 19:30:18 2025-01-29 19:30:16.941742 +0700 WIB m=+12.006125959~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Sec-Fetch-Site:same-site | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Signature:b7c2a8cd52c594c766e84aa680f48c49 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Content-Type:application/json | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:202"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 19:30:18.38845 +0700 WIB m=+13.452833834~32.625µs~
2025/01/29 19:30:30 2025-01-29 19:30:30.043892 +0700 WIB m=+25.108276376~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Signature:b7c2a8cd52c594c766e84aa680f48c49 | Content-Type:application/json | Content-Length:202 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24""~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 19:30:30.124958 +0700 WIB m=+25.189341793~6.042µs~
2025/01/29 19:30:45 2025-01-29 19:30:45.875756 +0700 WIB m=+40.940139751~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Sec-Fetch-Site:same-site | Content-Length:202 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Signature:b7c2a8cd52c594c766e84aa680f48c49 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Accept:*/* | Referer:http://localhost:3000/"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 19:30:45.915912 +0700 WIB m=+40.980296001~7.167µs~
2025/01/29 19:35:08 2025-01-29 19:35:08.848202 +0700 WIB m=+303.912585834~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:202 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1 | Signature:b7c2a8cd52c594c766e84aa680f48c49"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 19:35:08.966295 +0700 WIB m=+304.030679418~15.625µs~
2025/01/29 19:36:23 2025-01-29 19:36:23.003714 +0700 WIB m=+378.068098418~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Accept:*/* | Content-Length:202 | Signature:b7c2a8cd52c594c766e84aa680f48c49 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Gpc:1 | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 19:36:23.049512 +0700 WIB m=+378.113896376~8.833µs~
2025-01-29 19:52:37.925014 +0700 WIB m=+1352.989398293~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Connection:keep-alive | Signature:b7c2a8cd52c594c766e84aa680f48c49 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Origin:http://localhost:3000 | Content-Length:202 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 19:52:38.006793 +0700 WIB m=+1353.071176876~14.667µs~
2025-01-29 19:52:52.415381 +0700 WIB m=+1367.479765501~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Signature:884f4249732022a5f7515395d354b30b | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Origin:http://localhost:3000 | Content-Length:170 | Sec-Ch-Ua-Mobile:?0 | Accept:*/*"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Id":"2","Page":1,"RowPage":1,"OrderBy":"","Order":""}~200~2025-01-29 19:52:52.475659 +0700 WIB m=+1367.540043251~18.667µs~
2025-01-29 19:52:58.794346 +0700 WIB m=+1373.858730043~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Content-Length:356 | Signature:a9c834eca7b5d4b348f864e7e9a8a43d | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Id":"2","Method":"UPDATE","ParamUpdate":"","Title":"Inisiatif Kamis","Description":"Di LippoLand, keberlanjutan merupakan inti dari bisnis kami. Kami berkomitmen untuk mengelola sumber daya, lingkungan, dan komunitas secara bertanggung jawab.s","Status":""}~200~2025-01-29 19:52:58.813923 +0700 WIB m=+1373.878307043~12.375µs~
2025-01-29 19:52:58.846314 +0700 WIB m=+1373.910698209~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Ch-Ua-Platform:"macOS" | Signature:b7c2a8cd52c594c766e84aa680f48c49 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept:*/* | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:202 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Title":"","Description":"","Status":"","Page":1,"RowPage":10,"OrderBy":"","Order":""}~200~2025-01-29 19:52:58.863001 +0700 WIB m=+1373.927385001~15.042µs~
2025-01-29 19:53:00.212817 +0700 WIB m=+1375.277201709~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Connection:keep-alive | Content-Length:170 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Signature:884f4249732022a5f7515395d354b30b"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Method":"SELECT","Id":"2","Page":1,"RowPage":1,"OrderBy":"","Order":""}~200~2025-01-29 19:53:00.220575 +0700 WIB m=+1375.284959709~14.958µs~
2025-01-29 19:53:04.569821 +0700 WIB m=+1379.634205293~::1~POST~/api/v1/admin/LeadershipInitiative~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:354 | Signature:1ec969308b0f642b776677248516a1ed | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODE1MzUyNzcyOTM1MA==vP4etwmgwEa9YoC8HCuPWi3F6eRPz6","Id":"2","Method":"UPDATE","ParamUpdate":"","Title":"Inisiatif Kami","Description":"Di LippoLand, keberlanjutan merupakan inti dari bisnis kami. Kami berkomitmen untuk mengelola sumber daya, lingkungan, dan komunitas secara bertanggung jawab.","Status":""}~200~2025-01-29 19:53:04.595082 +0700 WIB m=+1379.659466126~15.667µs~
