2025-01-31 01:38:52.838364 +0700 WIB m=+9890.310576001~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | Content-Length:197 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:38:52.875002 +0700 WIB m=+9890.347214209~22.042µs~
2025-01-31 01:39:57.867929 +0700 WIB m=+9955.340140834~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:197"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:39:57.882285 +0700 WIB m=+9955.354497417~8.791µs~
2025-01-31 01:40:06.864103 +0700 WIB m=+9964.336315126~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Length:197 | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:40:06.882436 +0700 WIB m=+9964.354648209~13.875µs~
2025-01-31 01:41:14.949421 +0700 WIB m=+10032.421632792~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:197 | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | Accept:*/* | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:41:15.016739 +0700 WIB m=+10032.488951792~14.166µs~
2025-01-31 01:41:54.85648 +0700 WIB m=+10072.328692417~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Connection:keep-alive | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | Sec-Fetch-Dest:empty | Content-Length:197 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept:*/* | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:41:54.867621 +0700 WIB m=+10072.339833251~6.792µs~
2025-01-31 01:41:59.132778 +0700 WIB m=+10076.604990292~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Length:200 | Sec-Ch-Ua-Platform:"macOS" | Signature:978681c8cf0ade826f5244000ac0c239 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Connection:keep-alive | Content-Type:application/json | Referer:http://localhost:3000/ | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Id":"1","Method":"UPDATE","FileNameImageOld":"","FileNameImage":null,"Base64DataImage":"","Title":""}~200~2025-01-31 01:41:59.161951 +0700 WIB m=+10076.634163584~17.083µs~Hero Id or filename image old can't null value
2025/01/31 01:45:20 2025-01-31 01:45:20.932325 +0700 WIB m=+4.801148585~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Sec-Fetch-Dest:empty | Content-Length:197 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Mode:cors | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:45:20.99055 +0700 WIB m=+4.859373376~17.458µs~
2025/01/31 01:45:22 2025-01-31 01:45:22.141676 +0700 WIB m=+6.010499751~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Gpc:1 | Signature:978681c8cf0ade826f5244000ac0c239 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:200 | Content-Type:application/json | Accept-Language:en-US,en"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Id":"1","Method":"UPDATE","FileNameImageOld":"","FileNameImage":null,"Base64DataImage":"","Title":""}~200~2025-01-31 01:45:22.156821 +0700 WIB m=+6.025645043~19.833µs~filename image old can't null value
2025/01/31 01:45:49 2025-01-31 01:45:49.86424 +0700 WIB m=+33.733064001~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Connection:keep-alive | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | Origin:http://localhost:3000 | Content-Length:197 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Accept-Language:en-US,en"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:45:49.873633 +0700 WIB m=+33.742456543~12.708µs~
2025/01/31 01:46:17 2025-01-31 01:46:17.865004 +0700 WIB m=+61.733827751~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Connection:keep-alive | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Length:197 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:46:17.884222 +0700 WIB m=+61.753045751~6.833µs~
2025/01/31 01:46:21 2025-01-31 01:46:21.874681 +0700 WIB m=+65.743504418~::1~POST~/api/v1/admin/UpcomingProject~ "Header=>Accept:*/* | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:f1be4a905e1aa76b7001e40c3ada7c04 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:197 | Sec-Gpc:1 | Accept-Language:en-US,en | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_lippoland","ParamKey":"MTczODI2MDM2NzU2NTcwMw==FFvCfrQO6Z7Xe6G9LyXsXD6sZK8Cj4","Method":"SELECT","Title":"","Status":"","Page":1,"RowPage":2,"OrderBy":"tgl_input","Order":"DESC"}~200~2025-01-31 01:46:21.890153 +0700 WIB m=+65.758976543~9.583µs~
