2025/01/28 14:13:55 2025-01-28 14:13:55.639893 +0700 WIB m=+79.624556209~::1~POST~/api/v1/web/VisiMisi~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Content-Length:17 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Origin:http://localhost:3000 | Sec-Ch-Ua-Platform:"macOS""~{"Ip":"","Id":""}~2002025-01-28 14:13:55.717872 +0700 WIB m=+79.70253520977.979ms~
2025/01/28 14:13:55 2025-01-28 14:13:55.641077 +0700 WIB m=+79.625740084~::1~POST~/api/v1/web/CoreValues~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Length:17 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-01-28 14:13:55.717867 +0700 WIB m=+79.70253000176.789917ms~
2025-01-28 14:15:58.919992 +0700 WIB m=+202.904654667~::1~POST~/api/v1/web/VisiMisi~ "Header=>Accept-Language:en-US,en | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Accept:*/* | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Content-Length:17"~{"Ip":"","Id":""}~2002025-01-28 14:15:59.127671 +0700 WIB m=+203.112333667207.679ms~
2025-01-28 14:15:58.919769 +0700 WIB m=+202.904432084~::1~POST~/api/v1/web/CoreValues~ "Header=>Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Site:same-site | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Accept-Language:en-US,en | Origin:http://localhost:3000 | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-01-28 14:15:59.127751 +0700 WIB m=+203.112414001207.981917ms~
2025-01-28 14:17:52.619074 +0700 WIB m=+316.603736542~::1~POST~/api/v1/web/CoreValues~ "Header=>Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Gpc:1 | Connection:keep-alive | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Content-Type:application/json | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd"~{"Ip":"","Id":""}~2002025-01-28 14:17:52.650177 +0700 WIB m=+316.63483991731.103375ms~
2025-01-28 14:17:52.61951 +0700 WIB m=+316.604172834~::1~POST~/api/v1/web/VisiMisi~ "Header=>Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS""~{"Ip":"","Id":""}~2002025-01-28 14:17:52.650177 +0700 WIB m=+316.63483979230.666958ms~
2025-01-28 14:24:09.619554 +0700 WIB m=+85.227144876~::1~POST~/api/v1/web/VisiMisi~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-01-28 14:24:09.660354 +0700 WIB m=+85.26794462640.79975ms~
2025-01-28 14:24:09.619986 +0700 WIB m=+85.227576834~::1~POST~/api/v1/web/CoreValues~ "Header=>Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Content-Length:17 | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000"~{"Ip":"","Id":""}~2002025-01-28 14:24:09.660561 +0700 WIB m=+85.26815183440.575ms~
2025-01-28 14:24:26.581625 +0700 WIB m=+102.189215876~::1~POST~/api/v1/web/CoreValues~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Length:17 | Origin:http://localhost:3000 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd"~{"Ip":"","Id":""}~2002025-01-28 14:24:26.615517 +0700 WIB m=+102.22310762633.89175ms~
2025-01-28 14:24:26.581525 +0700 WIB m=+102.189115542~::1~POST~/api/v1/web/ListStats~ "Header=>Accept-Language:en-US,en | Origin:http://localhost:3000 | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors"~{"Ip":"","Id":""}~2002025-01-28 14:24:26.616122 +0700 WIB m=+102.22371283434.597292ms~
2025-01-28 14:24:26.581839 +0700 WIB m=+102.189429667~::1~POST~/api/v1/web/AboutUsHero~ "Header=>Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Accept:*/* | Sec-Fetch-Dest:empty"~{"Ip":"","Id":""}~2002025-01-28 14:24:26.616483 +0700 WIB m=+102.22407354234.643875ms~
