2025-02-01 03:08:39.368011 +0700 WIB m=+6199.624646376~::1~POST~/api/v1/web/ListHeaderMenu~ "Header=>Content-Length:17 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Connection:keep-alive | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd"~{"Ip":"","Id":""}~2002025-02-01 03:08:39.61711 +0700 WIB m=+6199.873745209249.098833ms~
2025-02-01 03:08:39.367691 +0700 WIB m=+6199.624326168~::1~POST~/api/v1/web/HeaderLogo~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Encoding:gzip, deflate, br, zstd | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Content-Type:application/json | Sec-Fetch-Site:same-site | Connection:keep-alive | Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty"~{"Ip":"","Id":""}~2002025-02-01 03:08:39.617437 +0700 WIB m=+6199.874071876249.745708ms~
2025-02-01 03:08:39.368333 +0700 WIB m=+6199.624968459~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Accept-Language:en-US,en | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-02-01 03:08:39.624095 +0700 WIB m=+6199.880730418255.761959ms~
2025-02-01 03:08:39.369845 +0700 WIB m=+6199.626479918~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Gpc:1 | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Fetch-Mode:cors"~{"Ip":"","Id":""}~2002025-02-01 03:08:39.624826 +0700 WIB m=+6199.881461043254.981125ms~
2025-02-01 03:08:39.367636 +0700 WIB m=+6199.624271584~::1~POST~/api/v1/web/ListProductHome~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Accept:*/* | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Connection:keep-alive | Accept-Encoding:gzip, deflate, br, zstd"~{"Ip":"","Id":""}~2002025-02-01 03:08:39.62969 +0700 WIB m=+6199.886325293262.053709ms~
2025-02-01 03:08:39.367864 +0700 WIB m=+6199.624499668~::1~POST~/api/v1/web/ListImageDevHome~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:34 | Accept:*/* | Accept-Language:en-US,en | Origin:http://localhost:3000 | Signature:b90e9277bde8ee5ec6105cf466e204f2 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Connection:keep-alive | Content-Type:application/json | Referer:http://localhost:3000/"~{"Ip":"","Id":"","CategoryId":"1"}~2002025-02-01 03:08:39.741746 +0700 WIB m=+6199.998381293373.881625ms~
2025/02/01 15:06:14 2025-02-01 15:06:14.643182 +0700 WIB m=+19.885832793~::1~POST~/api/v1/web/HeaderLogo~ "Header=>Content-Length:17 | Sec-Fetch-Site:same-site | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept:*/*"~{"Ip":"","Id":""}~2002025-02-01 15:06:14.656337 +0700 WIB m=+19.89898754313.15475ms~
2025-02-01 15:09:59.047868 +0700 WIB m=+244.290518960~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Sec-Gpc:1 | Sec-Fetch-Dest:empty | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:17 | Origin:http://localhost:3000 | Accept:*/* | Accept-Language:en-US,en | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"~{"Ip":"","Id":""}~2002025-02-01 15:09:59.053027 +0700 WIB m=+244.2956778355.158875ms~
2025-02-01 15:09:59.04723 +0700 WIB m=+244.289880793~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-02-01 15:09:59.05374 +0700 WIB m=+244.2963907936.51ms~
2025-02-01 15:09:59.048417 +0700 WIB m=+244.291067460~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Type:application/json | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76"~{"Ip":"","Id":""}~2002025-02-01 15:09:59.054903 +0700 WIB m=+244.2975542516.486791ms~
2025-02-01 15:09:59.048199 +0700 WIB m=+244.290849460~::1~POST~/api/v1/web/HeaderLogo~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Content-Type:application/json | Sec-Fetch-Site:same-site | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Signature:95b99d708327939f346d73dd193a7b76 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-02-01 15:09:59.05501 +0700 WIB m=+244.2976604186.810958ms~
