2025-02-01 15:18:51.970186 +0700 WIB m=+777.212836710~::1~POST~/api/v1/web/ListProductHome~ "Header=>Sec-Fetch-Dest:empty | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Connection:keep-alive | Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-02-01 15:18:51.972977 +0700 WIB m=+777.2156283762.791666ms~
2025-02-01 15:18:51.969921 +0700 WIB m=+777.212571876~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-02-01 15:18:51.973136 +0700 WIB m=+777.2157869603.215084ms~
2025-02-01 15:18:51.969974 +0700 WIB m=+777.212624751~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Encoding:gzip, deflate, br, zstd | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Dest:empty | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-02-01 15:18:51.973931 +0700 WIB m=+777.2165821683.957417ms~
2025-02-01 15:18:51.969921 +0700 WIB m=+777.212572043~::1~POST~/api/v1/web/ListImageDevHome~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:34 | Sec-Ch-Ua-Platform:"macOS" | Signature:b90e9277bde8ee5ec6105cf466e204f2 | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Gpc:1 | Accept-Language:en-US,en | Referer:http://localhost:3000/"~{"Ip":"","Id":"","CategoryId":"1"}~2002025-02-01 15:18:51.973935 +0700 WIB m=+777.2165857514.013708ms~
2025-02-01 15:18:51.97019 +0700 WIB m=+777.212840710~::1~POST~/api/v1/web/ListHeaderMenu~ "Header=>Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/*"~{"Ip":"","Id":""}~2002025-02-01 15:18:51.973164 +0700 WIB m=+777.2158148352.974125ms~
2025-02-01 15:18:51.970181 +0700 WIB m=+777.212832085~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Content-Length:17 | Accept-Language:en-US,en | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Signature:95b99d708327939f346d73dd193a7b76 | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0"~{"Ip":"","Id":""}~2002025-02-01 15:18:51.973961 +0700 WIB m=+777.2166120013.779916ms~
2025-02-01 15:22:38.106736 +0700 WIB m=+1003.349387251~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Content-Type:application/json | Accept-Language:en-US,en | Origin:http://localhost:3000 | Connection:keep-alive | Accept:*/* | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Mode:cors"~{"Ip":"","Id":""}~2002025-02-01 15:22:38.110676 +0700 WIB m=+1003.3533263763.939125ms~
2025-02-01 15:22:38.107074 +0700 WIB m=+1003.349724793~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Content-Length:17 | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Dest:empty | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json"~{"Ip":"","Id":""}~2002025-02-01 15:22:38.110708 +0700 WIB m=+1003.3533587103.633917ms~
2025-02-01 15:22:38.106359 +0700 WIB m=+1003.349010210~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>Content-Length:17 | Content-Type:application/json | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Encoding:gzip, deflate, br, zstd | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-02-01 15:22:38.110835 +0700 WIB m=+1003.3534858764.475666ms~
2025-02-01 15:22:38.106178 +0700 WIB m=+1003.348829335~::1~POST~/api/v1/web/ListImageDevHome~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Type:application/json | Referer:http://localhost:3000/ | Content-Length:34 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Signature:b90e9277bde8ee5ec6105cf466e204f2 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty"~{"Ip":"","Id":"","CategoryId":"1"}~2002025-02-01 15:22:38.111881 +0700 WIB m=+1003.3545321265.702791ms~
2025-02-01 15:22:38.106011 +0700 WIB m=+1003.348661668~::1~POST~/api/v1/web/HeaderLogo~ "Header=>Connection:keep-alive | Content-Type:application/json | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Gpc:1 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Content-Length:17 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Signature:95b99d708327939f346d73dd193a7b76"~{"Ip":"","Id":""}~2002025-02-01 15:22:38.112384 +0700 WIB m=+1003.3550350436.373375ms~
