2025/02/01 15:06:14 2025-02-01 15:06:14.661206 +0700 WIB m=+19.903857168~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Accept-Language:en-US,en | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-02-01 15:06:14.664895 +0700 WIB m=+19.9075463763.689208ms~
2025-02-01 15:07:02.341189 +0700 WIB m=+67.583839876~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Sec-Fetch-Mode:cors | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Content-Length:17 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json"~{"Ip":"","Id":""}~2002025-02-01 15:07:02.34504 +0700 WIB m=+67.5876904603.850584ms~
2025-02-01 15:07:52.611504 +0700 WIB m=+117.854155376~::1~POST~/api/v1/web/ListHeroHome~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Connection:keep-alive | Content-Length:17 | Content-Type:application/json | Accept:*/* | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Mode:cors | Signature:95b99d708327939f346d73dd193a7b76"~{"Ip":"","Id":""}~2002025-02-01 15:07:52.62724 +0700 WIB m=+117.86989112615.73575ms~
2025-02-01 15:24:37.311315 +0700 WIB m=+1122.553965751~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd"~{"Ip":"","Id":""}~2002025-02-01 15:24:37.31544 +0700 WIB m=+1122.5580905434.124792ms~
2025-02-01 15:34:21.821382 +0700 WIB m=+1707.064032876~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Fetch-Mode:cors | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept-Language:en-US,en | Origin:http://localhost:3000"~{"Ip":"","Id":""}~2002025-02-01 15:34:21.825659 +0700 WIB m=+1707.0683103354.277459ms~
2025-02-01 15:34:27.879791 +0700 WIB m=+1713.122442293~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Accept-Language:en-US,en"~{"Ip":"","Id":""}~2002025-02-01 15:34:27.882771 +0700 WIB m=+1713.1254220012.979708ms~
2025-02-01 16:02:16.004632 +0700 WIB m=+3269.516250501~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua-Mobile:?0"~{"Ip":"","Id":""}~2002025-02-01 16:02:16.007 +0700 WIB m=+3269.5186182932.367792ms~
2025-02-01 18:20:45.960141 +0700 WIB m=+5067.317641751~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Content-Type:application/json | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en"~{"Ip":"","Id":""}~2002025-02-01 18:20:45.962647 +0700 WIB m=+5067.3201483352.506584ms~
2025-02-01 18:37:36.912885 +0700 WIB m=+6078.270385793~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0.1 Safari/605.1.15 | Sec-Fetch-Dest:empty | Priority:u=3, i | Referer:http://localhost:3000/ | Accept-Language:en-GB,en-US;q=0.9,en;q=0.8 | Content-Type:application/json | Accept-Encoding:gzip, deflate | Connection:keep-alive | Origin:http://localhost:3000 | Signature:95b99d708327939f346d73dd193a7b76 | Content-Length:17"~{"Ip":"","Id":""}~2002025-02-01 18:37:36.91508 +0700 WIB m=+6078.2725811682.195375ms~
2025-02-01 18:45:28.553407 +0700 WIB m=+6549.910908460~::1~POST~/api/v1/web/UpcomingProject~ "Header=>Connection:keep-alive | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Dest:empty | Content-Type:application/json | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site"~{"Ip":"","Id":""}~2002025-02-01 18:45:28.554743 +0700 WIB m=+6549.9122438351.335375ms~
2025-02-01 18:53:03.080269 +0700 WIB m=+7004.437769960~::1~POST~/api/v1/web/ListCategoryDevHome~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-02-01 18:53:03.090342 +0700 WIB m=+7004.44784346010.0735ms~
