2025-02-01 02:04:19.162632 +0700 WIB m=+2962.395715001~::1~POST~/api/v1/web/AboutUsHero~ "Header=>Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Sec-Ch-Ua-Platform:"macOS" | Referer:http://localhost:3000/"~{"Ip":"","Id":""}~2002025-02-01 02:04:19.307304 +0700 WIB m=+2962.540387293144.672292ms~
2025-02-01 02:04:19.162981 +0700 WIB m=+2962.396063793~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Signature:95b99d708327939f346d73dd193a7b76 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Platform:"macOS" | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Connection:keep-alive | Content-Length:17"~{"Ip":"","Id":""}~2002025-02-01 02:04:19.307261 +0700 WIB m=+2962.540344626144.280833ms~
2025-02-01 02:04:19.164297 +0700 WIB m=+2962.397380459~::1~POST~/api/v1/web/ListStats~ "Header=>Signature:95b99d708327939f346d73dd193a7b76 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Gpc:1 | Accept-Language:en-US,en | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS""~{"Ip":"","Id":""}~2002025-02-01 02:04:19.30777 +0700 WIB m=+2962.540853126143.472667ms~
2025-02-01 02:04:19.163208 +0700 WIB m=+2962.396291043~::1~POST~/api/v1/web/ListHeaderMenu~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Referer:http://localhost:3000/ | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Fetch-Mode:cors | Content-Length:17"~{"Ip":"","Id":""}~2002025-02-01 02:04:19.308112 +0700 WIB m=+2962.541195543144.9045ms~
2025-02-01 02:04:19.163519 +0700 WIB m=+2962.396602293~::1~POST~/api/v1/web/HeaderLogo~ "Header=>Content-Type:application/json | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua-Mobile:?0 | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Mode:cors | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Accept-Language:en-US,en | Sec-Fetch-Site:same-site"~{"Ip":"","Id":""}~2002025-02-01 02:04:19.308836 +0700 WIB m=+2962.541919459145.317166ms~
2025-02-01 02:04:19.16329 +0700 WIB m=+2962.396373084~::1~POST~/api/v1/web/VisiMisi~ "Header=>Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Content-Length:17 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept-Language:en-US,en | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1"~{"Ip":"","Id":""}~2002025-02-01 02:04:19.308375 +0700 WIB m=+2962.541458376145.085292ms~
2025-02-01 15:11:00.547943 +0700 WIB m=+305.790593543~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Connection:keep-alive | Referer:http://localhost:3000/ | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"~{"Ip":"","Id":""}~2002025-02-01 15:11:00.549642 +0700 WIB m=+305.7922928761.699333ms~
2025-02-01 15:11:27.410016 +0700 WIB m=+332.652666543~::1~POST~/api/v1/web/ListHeaderMenu~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Fetch-Dest:empty | Sec-Fetch-Mode:cors | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Gpc:1 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Accept-Language:en-US,en | Connection:keep-alive | Content-Length:17 | Sec-Ch-Ua-Platform:"macOS""~{"Ip":"","Id":""}~2002025-02-01 15:11:27.412487 +0700 WIB m=+332.6551380852.471542ms~
2025-02-01 15:11:27.411248 +0700 WIB m=+332.653899168~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Content-Length:17 | Signature:95b99d708327939f346d73dd193a7b76 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Sec-Fetch-Dest:empty"~{"Ip":"","Id":""}~2002025-02-01 15:11:27.412776 +0700 WIB m=+332.6554271261.527958ms~
2025-02-01 15:11:27.41154 +0700 WIB m=+332.654190418~::1~POST~/api/v1/web/AboutUsDesc~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Sec-Gpc:1 | Accept-Language:en-US,en | Connection:keep-alive | Content-Length:17 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Accept:*/* | Sec-Fetch-Site:same-site"~{"Ip":"","Id":""}~2002025-02-01 15:11:27.412858 +0700 WIB m=+332.6555090431.318625ms~
2025-02-01 15:11:27.411253 +0700 WIB m=+332.653903543~::1~POST~/api/v1/web/AboutUsHero~ "Header=>User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Language:en-US,en | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Signature:95b99d708327939f346d73dd193a7b76 | Sec-Ch-Ua:"Brave";v="131", "Chromium";v="131", "Not_A Brand";v="24" | Accept:*/* | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Connection:keep-alive | Content-Length:17"~{"Ip":"","Id":""}~2002025-02-01 15:11:27.413103 +0700 WIB m=+332.6557536681.850125ms~
